Año,Trimestre,ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Total,Mbps (Media de bajada),Ingresos (miles de pesos),Accesos por cada 100 hogares,Accesos por cada 100 hab
2022,4,1315373,6037457,3060575,572969,221740,11208114,106.56,72443482.9891497,77.21,24.15
2022,3,1395277,6031970,2871541,557110,235230,11091128,62.46,64086784.3305304,76.64,23.95
2022,2,1468333,5979214,2723285,556243,231609,10958684,58.44,60419500.6232803,75.96542437191371,23.7204423164287
2022,1,1533240,6073426,2219533,545814,251996,10624009,55.11,55219313.0146503,73.87880284452622,23.04917103869773
2021,4,1657615,5984240,2072236,523107,252596,10489794,52.34,45467887.16501248,73.17639652814779,22.810702052174992
2021,3,1950631,5826257,1566048,492415,250190,10085541,48.46,42999944.29282247,70.57885341443017,21.982550082706407
2021,2,2018587,5641731,1472246,476968,253552,9863084,45.63,38239666.63354247,69.24018269199719,21.54793892759205
2021,1,2175211,5424782,1362976,434548,250455,9647972,43.11,36676371.36239245,67.94587638885211,21.127831812160064
2020,4,2213949,5371824,1311199,421554,253036,9571562,42.36,33539702.716311768,67.62233866155619,21.01019174828445
2020,3,2263889,5259351,1170879,413259,248821,9356199,40.67,31997444.53069925,66.31,20.59
2020,2,2295533,5005115,1106725,376667,247016,9031056,38.32,32102475.991463635,64.21000287666993,19.918402765295003
2020,1,2299457,4903674,1047817,352333,209145,8812426,37.52,29946216.45204913,62.85636111359369,19.483264768615577
2019,4,2414575,4883869,941295,340144,213298,8793181,28.26,24169250.699015297,62.91991182091471,19.48790008712971
2019,3,2909805,4800091,852221,338241,264326,9164684,24.18,21652748.444642507,65.7879845391111,20.360660718556822
2019,2,2990457,4635575,760794,308027,265328,8960181,20.33,20743117.694006097,64.53,19.96
2019,1,3132789,4435439,637099,276419,166389,8648135,17.38,20207413.77085243,62.47916610977176,19.307906741229864
2018,4,3329027,4313831,388013,264299,178485,8473655,15.95,16637686.589009603,61.41580723435766,18.97
2018,3,3521447,4238171,247366,246181,93870,8347035,15.36,15410980.692582969,60.69,18.73
2018,2,3557216,4038141,226285,194267,94535,8110444,13.8495399422441,14319467.460713817,59.1620687879326,18.24
2018,1,3574294,3981129,217460,165300,98870,8037053,13.221339833489,13171459.230893357,58.82,18.12
2017,4,3584311,3818157,211425,155775,100554,7870222,12.0076260812107,11226127.38858,57.782350963183326,17.7929770681446
2017,3,3622575,3670221,193964,106443,131740,7724943,8.33904815764714,10065997.86215,56.89922141223151,17.5090322340829
2017,2,3723518,3383434,180777,85813,56122,7429664,7.15995552367739,9678646.92829,54.90119065983709,16.8829367167329
2017,1,3708898,3276251,180146,84813,55746,7305854,6.62407908134137,8701201.42137,54.16211582414749,16.6445653587914
2016,4,3722794,3210602,178070,85119,55088,7251673,6.33738413446842,7483980.393279007,53.93601866428618,16.564000030973244
2016,3,3776442,3124855,169898,81455,54300,7206950,5.9387765869846,6912441.538856647,53.73418622887769,16.504675674002662
2016,2,3782085,3035272,167788,85452,59482,7130079,5.42353097512933,6534240.597500004,53.34220115261164,16.371351499331684
2016,1,3792493,2806359,164371,85370,58763,6907356,5.08370177629755,5936844.886499999,51.84545169695796,15.901801868833909
2015,4,3803024,2898226,139187,85726,58668,6984831,4.99044890054109,5376899.206,52.63088750448939,16.122696946278083
2015,3,3788696,2840203,162663,84530,58976,6935068,4.78891116867562,5153738.8843600005,52.45910622153948,16.050289147694723
2015,2,3767821,2756294,150839,82077,59157,6816188,4.54538147818226,4701790.719660001,51.760266081540586,15.8172335655737
2015,1,3756153,2668248,168188,79098,66045,6737732,4.35027886167618,4876385.315070001,51.36458636223469,15.677234003379091
2014,4,3764038,2536219,149682,76984,71573,6598496,4.15688796190556,3950440.78037,50.49978847426527,15.394676968457423
2014,3,3714764,2569868,155494,85096,70049,6595271,3.86726501227843,3478637.7427996206,50.67236813472314,15.428768804428332
2014,2,3708882,2461670,149363,72405,72148,6464468,3.75871218894443,3270816.20391,49.86142843765764,15.163908007906054
2014,1,3697066,2407330,150323,70749,72930,6398398,3.6171267670209,2984054.2087800005,49.545821345017,15.050103872893196
